Title,Price,Rating,Sold
,310.00 to $722.00,8342228050012,250
Dell Latitude Business Light Gaming Laptop Win 10 Intel Core i5 16GB RAM 2TB SSD,60.00 to $134.97,2221161630501604,796
ADATA SWORDFISH PCIe NVMe Gen3x4 M.2 2280 Solid State Drive 500GB/1TB/2TB,274.00 to $650.00,2584256211567750,25
Dell Latitude Light Gaming Business Laptop 16GB RAM 2TB SSD Win10 Pro Webcam DVD,599.00,5121116162164,65
"New ListingAlienware M14X R2 14"" Gaming Laptop  i7-3610QM,8GB, 360GB,SSD,NEW BATTERY,CHRGR",259.00 to $700.00,500001573002682561210,22
"15.6"" Dell Latitude Intel Core i5 3.30GHz 16GB 2TB SSD Win10 Pro HDMI Webcam DVD",19.99,1670017329735204,
New ListingHP LAPTOP 14-bw066nr AMD DUAL CORE PROCESSOR 500GB HD-,195.00,16460142562554,27
"HP EliteBook Folio 9470m 14"" Laptop 1.8 GHz i5-3337U 4GB RAM (Grade B)",350.00,11510455156165102108512,
"New ListingDell XPS 13 2015 (256GB, Core i5 6th Gen., 4GB RAM, QHD Touchscreen)",44.99,14201426525404,15
"New ListingLenovo N22 11.6"" (16GB eMMC, Intel Celeron N3050, 1.60GHz, 4GB RAM) Chromebook -",84.00,,
"New ListingLenovo ThinkPad E555 15.5"" Laptop 2.2 GHz A6-7000 4GB RAM (Grade B No Battery)",19.99,,
New ListingHP LAPTOP 14-bw066nr AMD DUAL CORE PROCESSOR 500GB HD- Needs operating system,299.00,,
"Dell Precision M6800 17.3"" Laptop 3.00 GHz i7-4610M 4GB RAM (Grade C)",100.00,,
New ListingApple macbook pro 13” Retina 2015 Core i5 2.70GHz 8GB 128GB SSD,95.00,,
"Dell Latitude E6410 14"" Laptop 2.67 GHz i7-M 620 4GB RAM (Grade A Bad CMOS)",229.99,,
Dell Latitude E7250 Laptop i5 Dual-Core 8GB 256GB SSD Win 10 Pro B v.WAA,320.00 to $696.00,,
HP ProBook Win10 Pro 15.6'' Intel Core i5 3.30GHz 16GB RAM 2TB SSD Webcam DVD+RW,299.99,,
"New ListingDell E7470 14"" Laptop 2.4GHz i5-6300U 8GB DDR4 RAM 256GB SSD Windows 10 Pro x64",269.99,,
"Microsoft Surface Pro 3 12"" 1.7GHz i7-4650U 8GB RAM 250 GB SSD W10 Pro Grade A",120.00,,
"Dell Inspiron 5721 17.3"" Laptop 1.8 GHz i5-3337U 4GB RAM (Grade C No Battery)",450.00,,
"New ListingSamsung AMD Ryzen 5 8GB DDR4 256GB SSD 2-1 15.6"" Notebook 7 Spin Laptop 750QUB",115.00,,
"Dell Latitude E6430 14"" Laptop 2.6 GHz i5-3320M 4GB RAM (Grade B No Webcam)",0.95,,
"New ListingLenovo Chromebook N21 11.6in. (16GB, Intel Celeron, 2.16GHz, 4GB) Netbook - Bla…",124.00,,
"HP ProBook 6470b 14"" Laptop 3 GHz i7-3540M 4GB RAM (Grade B)",67.00,,
"Dell E5430 14"" Laptop 2.4 GHz i3-3110M 4GB RAM (Grade C No Battery, Webcam)",329.20,,
New ListingMicrosoft Surface Pro GWP-00001 Core i5-7300U 2.6GHz 8GB 256GB 12in Touch W10p,"1,099.95",,
"New ListingAlienware 17 R5 17.3"" Gaming Laptop nVidia GTX 1070 500GB nVMe SSD i7-8750H 16GB",279.00,,
"Dell Precision M6700 17.3"" Laptop 2.9 GHz i7-3520M 4GB RAM (Grade B)",110.00,,
New ListingHP EliteBook 8460p Laptop CPU i5 2.5 GHz 4GB Ram 300GB HDD Window 10 Pro MS 2019,88.00,,
"Dell E6420 14"" Laptop 2.6 GHz i5-2540M 4GB RAM (Grade C)",289.99,,
"New ListingDell E5450 14"" Laptop 2.6GHz i7-5600U 8GB DDR3 RAM 256GB SSD Windows 10 Pro x64",955.95,,
"New ListingHP EliteBook 840 G6 14"" IPS Touchscreen Intel Core i7 8565u 16GB 512GB 2023 WTY!",649.99,,
"New ListingHP Pavilion 15t 9YF35AV i7-1165G7, Iris Graphics 8 GB RAM 15.6"" 256GB NVMe, W10P",104.00,,
"Dell E6520 15.6"" Laptop 2.6 GHz i5-2540M 4GB RAM (Grade B No Battery, Webcam)",235.00,,
"HP EliteBook 840 G3 14"" Laptop 2.4 GHz i5-6300U 4GB RAM (Grade B No Caddy)",319.99,,
"New ListingDell E5570 14"" Laptop 2.3GHz i5-6200U 8GB DDR4 RAM 256GB SSD Windows 10 Pro x64",195.00,,
"Dell Latitude 5480 14"" Laptop 2.4 GHz i5-6300U 4GB RAM Grade B No Caddy, Webcam",78.00,,
"Dell E5420 14"" Laptop 2.4 GHz i5-2430M 4GB RAM (Grade C)",525.00,,
New ListingSony Vaio VGN UMPC VPCP11AKJ Z560 2.13GHz 128GB SSD 2GB WEBCAM BT WIFI WIN 10,685.00,,
"New ListingLenovo T560 15.6"" Laptop 2.4GHz i5-6300U 8GB DDR3 256GB SSD Windows 10 Pro x64",299.00,,
Panasonic CF-31 Toughbook Intel Core i5-2520M 2.5GHz 8GB DDR3 No HD/OS,249.95,,
"Dell Latitude E7240 12.6"" Laptop 2 GHz i5-4310U 4GB RAM (Grade B No Caddy)",122.00,,
"Lenovo X201 Tablet 12.2"" 2.67 GHz i5-M 560 4GB RAM (Grade A No Battery, Webcam)",122.00,,
"Fujitsu LIFEBOOK T731 12.2"" Laptop 2.5 GHz i5-2450M 4GB RAM (Grade A No Caddy)",90.00,,
"Lenovo ThinkPad T520 15.6"" Laptop 2.5 GHz i5-2520M 4GB RAM (Grade A No Battery)",113.00,,
"Dell Latitude E6530 15.5"" Laptop 2.8 GHz i5-3360M 4GB RAM (Grade B)",150.00,,
HP EliteBook 8540w Intel Core i5 M560 2.67GHz 8GB 500GB with charger,170.00,,
"New ListingAcer TravelMate B115 11.6"" Laptop 2.16 GHz Quad Windows 10 Pro 8GB RAM 240GB SSD",149.99,,
"New ListingDell Latitude E5470 14"" Laptop Core i7 8GB 256GB SSD Win 10 Pro 1 Yr Wty B v.WAB",334.99,,
"New ListingHP EliteBook 8540p 15.6"" i5-540M 2.5GHz 4GB 250GB  NVidia Gaming Laptop",220.00,,
"onn 14"" laptop, Intel Core i3, 4GB Ram, 128 SSD,1920 x 1080p FHD",175.00,,
HP ProBook 450 G2 Laptop  i3 Dual-Core 8GB 256GB SSD Win 10 Pro B v.WAA,250.00,,
"Dell 14"" Rugged 5404 Laptop i5-4310U 2.00-3.00GHz 8GB Ram 500GB TouchScreen HDMI",201.99,,
"Lenovo ThinkPad P51s i7 7600U 2.8GHz 16GB 512GB SSD 15.6"" 2K LCD M520M",403.26,,
"New ListingHp Probook 6460B 14"" ( 256GB HDD 2.5 GHz core_i5 4GB RAM )laptop - Silver - PROB",599.00,,
"Dell Latitude E5470 14"" Laptop i5 Quad-Core 8GB 256GB SSD Win 10 Pro B v.WCA",150.00,,
"HP ProBook 650 G2 15.6"" Laptop 2.3 GHz i5-6200U 4GB RAM (Grade B No Caddy)",271.99,,
"New ListingHP ELITIBOOK 8560p 15.6"" Laptop Core i7 2720QM 2.2GHZ 4GB RAM 250GB HDD ATI",190.00,,
Custom Build Lenovo ThinkPad T440 Laptop  i5 Dual-Core Min 1.60GHz B v.WBA,275.00,,
New ListingMSI Modern 15 A10M-455 15.6'' FHD Laptop 1.6GHz Core i5-10210U 8GB RAM 512GB SSD,199.99 to $279.99,,
"New ListingLenovo ThinkPad Laptop.T420 i5-2540M 4GB 250GB 14"" Cam Batt/AC",649.99,,
"Custom Build Lenovo ThinkPad T460S 14"" Laptop Core i7 Min 2.60GHz Grade B v.WCA",150.00,,
"Lenovo ThinkPad T420s 14"" Laptop 2.6 GHz i5-2540M 4GB RAM (Grade B No Battery)",344.99 to $554.99,,
,126.00,,
,126.00,14201426525404,
"Lenovo ThinkPad T420s 14"" Laptop 2.6 GHz i5-2540M 4GB RAM (Grade B No Battery)",85.00,1454015624331104,36
"HP ProBook 4540s 15.6"" Laptop 2.4 GHz i3-3110M 4GB RAM (Grade B No Battery)",124.00,6611416216,
"HP ProBook 6470b 14"" Laptop 3.00 GHz i7-3540M 4GB RAM (Grade B)",80.00,26501812052601015,
"HP G72 Notebook PC 17.3"" Laptop 2.4 GHz i3-M 370 4GB RAM (Grade C No Battery)",56.99,1173173500228,
GRADE B+ HP Chromebook 11 G4 Refurbished Laptop Computer 16GB SSD Webcam 2.16GHz,150.00,3550,2
